mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-298.231,46.707993,-18.90238,-6.717198,-16.188343,13.947302,-4.525625,-2.956235,0.7753158,13.5361,4.372623,18.818811,16.244678,2
-283.3846,51.208687,-21.404623,-12.932632,-17.42797,13.775896,-3.4041278,-4.6707397,2.2249892,13.8288355,4.166694,19.18241,18.118237,2
-300.29367,41.127373,-20.38294,-5.6951275,-16.799425,13.668072,-5.4959993,-4.2049336,-1.313077,11.823078,1.3107965,17.444027,13.798026,2
-283.9045,48.28523,-19.351168,-8.739218,-16.708174,13.788808,-2.813608,-4.5955396,1.3770534,13.698541,3.1838565,20.980326,17.622326,2
-305.0405,43.297283,-17.528118,-2.261131,-16.10199,13.0868,-3.1561792,-1.2353919,-0.027643565,13.461196,2.9693515,18.967531,14.228993,2
-306.99927,71.34517,-10.826694,-2.7097366,-5.4826355,1.0150359,-10.689323,-3.7140782,-2.6035185,1.7792343,8.329654,15.161128,17.525784,2
-286.03592,47.901733,-16.389145,-5.456722,-15.430072,15.195965,-3.2395105,-3.0577254,2.3573034,14.825063,5.3985453,20.70474,18.426453,2
-302.68582,69.10232,-13.57796,-4.002416,-3.6764143,0.6272081,-12.262831,-5.204531,-1.2162951,3.9530327,10.884733,14.966926,17.157356,2
-301.9489,41.777218,-19.050238,-2.470459,-13.792072,13.953054,-3.8916888,-1.5756336,0.3925628,13.161918,3.3091135,18.666828,15.163305,2
-296.75183,46.214626,-17.674515,-6.325522,-16.591805,14.482794,-2.5545654,-1.722834,1.6599063,13.776346,4.98683,19.189922,17.336542,2
