Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
2156.25,15.1177,19.0353,15.01,5.6856,11.2964,18.9895,19.9943,5.0983,11.8296,16.6534,13.32,17.6295,20.3258,9.0286,18.6085,26.7698
2171.875,8.2667,16.3813,17.641,14.0272,22.164,9.2612,27.5749,9.2332,11.0175,11.1119,14.8226,1.7686,4.956,19.8133,6.5426,5.1759
2187.5,21.4706,18.7238,13.6606,9.9625,4.8798,26.955,18.4904,17.6073,16.4519,20.3387,6.1016,17.0462,17.7838,16.9073,30.5418,25.1852
2203.125,12.0879,21.5289,14.5601,18.233,23.1749,6.7336,7.9595,21.5773,9.9249,14.0676,25.3788,13.2248,18.7523,5.0183,7.746,7.2478
2218.75,18.0666,15.5013,13.5508,15.6764,16.0445,24.1106,21.4803,27.4107,29.0957,24.1573,18.1916,7.4371,20.4942,14.8285,13.2034,21.8657
2234.375,10.8268,17.1314,10.484,8.7332,8.2177,13.1728,37.3257,9.8804,9.4523,7.9912,14.0436,18.1273,16.6612,15.4344,18.5048,11.2247
2250,17.2622,24.2834,10.7512,18.3037,14.9301,20.9227,16.9416,30.9501,23.3838,25.2175,16.4152,4.5301,16.8795,6.8204,27.4339,24.5587
2265.625,14.9819,19.5266,7.4812,9.2497,14.6545,14.7727,9.6644,13.1323,14.3502,15.8827,22.9484,13.418,16.8977,25.0862,12.0509,11.0101
2281.25,8.2723,8.1027,25.382,13.8863,5.7666,15.039,12.8741,17.3886,23.6741,19.9725,14.8404,10.152,19.249,1.7418,13.6285,15.1751
2296.875,15.5191,27.5889,4.7497,11.749,20.2873,29.6122,33.8687,21.3098,11.2202,15.1358,25.1952,16.5488,24.0116,15.1431,23.9048,24.208
2312.5,11.2981,15.2803,22.0881,11.3536,7.9116,16.0686,21.2522,17.2987,27.2436,18.9175,12.5291,8.1846,23.2178,4.1607,18.1841,8.3971
2328.125,5.9203,14.3848,13.1293,17.2758,16.7399,22.1615,9.806,11.944,7.645,19.7934,23.5265,11.705,26.8251,23.4419,14.3265,10.5863
2343.75,25.6317,16.6262,12.8847,13.1556,13.3975,11.2537,19.8893,17.6253,31.0756,19.9919,18.6189,8.0702,9.9209,5.8633,18.822,18.436
2359.375,6.3163,10.3938,5.5845,16.0914,13.2518,18.2575,28.718,16.0812,0.9112,4.7799,19.9807,14.5843,14.988,7.6982,12.6426,14.5863
2375,10.6332,15.3644,21.1578,9.3326,11.8186,11.2295,15.8288,15.8859,11.1019,21.846,17.998,7.2167,16.3652,10.8157,14.6903,7.905
2390.625,16.1259,15.0038,3.78,8.1845,11.6637,16.501,10.2586,11.5658,26.1574,9.5955,8.1604,11.6688,14.5139,19.2545,16.5329,23.2514
2406.25,9.9648,13.4669,20.5542,14.666,19.3823,9.1503,5.3682,16.3939,3.636,8.0127,7.9887,14.0965,14.0649,13.1353,8.8982,7.9145
2421.875,16.5861,4.6033,11.559,9.8073,10.58,18.515,18.8356,6.3118,15.6642,10.146,17.1924,10.3538,11.7592,10.7553,15.8671,11.3756
2437.5,6.1661,12.0795,11.397,14.4958,14.4958,4.7091,21.0428,10.175,3.8715,12.4921,9.7764,18.4983,11.8839,14.4215,3.7091,17.2399
2453.125,18.6246,15.6155,20.0685,11.9274,14.8936,18.5352,13.6664,10.9825,15.7908,10.5868,8.0652,9.158,3.1296,9.7737,21.4651,16.9739
2468.75,10.5346,6.4553,10.6337,9.3714,11.3677,12.7934,9.9588,6.8936,7.2229,9.9769,8.87,11.91,20.2001,15.6075,10.5872,4.5445
2484.375,7.487,15.3844,13.0283,15.1422,14.3068,15.9239,14.3723,20.8382,20.7699,15.5375,19.6595,11.4579,13.4412,13.6447,18.4451,15.0754
2500,23.5362,18.5667,14.5688,9.7962,6.3599,14.3738,24.8632,11.9038,12.6283,12.9283,10.447,10.5036,13.3681,10.3846,19.2824,19.6759
2515.625,11.6212,13.522,14.3589,24.5969,20.431,17.5364,19.3571,20.5291,17.3128,21.2437,18.9156,19.6392,18.6324,12.9332,13.9594,14.7928
