Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
1765.625,48.2658,54.0262,49.1074,54.214,31.3852,42.9611,43.9869,30.8388,46.0854,36.7679,30.1122,57.7979,50.2276,31.9354,47.324,41.5546,17.4363,35.2136,47.5357,56.2497,54.6933
1781.25,49.1042,38.4825,45.0512,48.416,34.7465,49.3855,45.3081,33.0901,53.9246,51.1622,43.5072,40.817,22.5611,55.9803,61.5653,21.3822,41.5153,51.6788,48.2523,33.6425,40.5737
1796.875,47.3496,55.5838,39.5282,42.2223,39.14,45.2949,46.916,37.3094,40.9027,51.5825,29.8457,58.19,42.4242,53.7619,31.7125,47.3087,37.2911,48.6278,53.1632,60.4476,48.2724
1812.5,40.7619,45.5287,57.2996,51.301,31.6764,48.1701,52.4463,38.5607,50.0632,44.144,27.7969,40.6813,32.6838,39.9195,52.8989,19.0948,31.8039,49.9842,38.6637,33.026,52.2431
1828.125,49.7899,41.8991,39.3094,45.0751,38.3067,50.6196,49.3829,28.4087,48.7072,48.3075,38.3356,44.1813,33.3242,48.5615,44.3613,41.7909,43.0126,49.3872,49.0227,47.6248,45.5346
1843.75,53.7325,53.8563,48.6188,46.8994,32.6309,52.2241,42.3346,34.4057,43.8342,46.0921,36.0721,49.6906,35.8792,51.4091,52.5578,29.9413,34.8001,38.4136,50.1875,56.0334,51.8856
1859.375,40.7559,45.0557,48.4348,48.8314,34.8533,41.8543,49.8638,34.7136,54.8625,41.619,36.9724,45.4347,34.8139,44.6367,42.0179,40.7271,40.9284,51.7594,43.1051,43.4727,39.9746
1875,45.9802,38.2902,39.1451,49.5555,34.5882,45.6447,44.9214,39.7222,40.8093,53.1498,42.8219,46.2798,32.5599,41.7007,42.1374,28.5623,26.2644,50.8138,44.9504,37.0749,49.6155
1890.625,42.4172,53.8429,50.6771,38.3041,32.8702,38.9688,36.743,30.2214,40.1834,37.9656,21.2791,39.404,33.9889,35.8162,47.0428,36.3124,35.8599,39.4007,42.27,56.5249,35.9143
1906.25,45.0945,29.594,46.0434,37.123,24.2457,46.2717,49.4913,20.3106,39.2192,38.1191,31.7007,48.4937,32.8391,56.6255,45.6391,32.357,24.767,38.6183,44.3345,30.4716,48.2156
1921.875,29.9678,42.3523,28.179,36.8472,42.0222,35.1441,34.878,39.4462,44.8095,44.8707,32.2923,26.4162,36.7321,38.8218,32.0749,29.7632,40.5832,49.9437,38.0893,45.4824,33.7923
1937.5,30.3445,39.5225,47.8181,33.3179,27.1611,42.8333,42.036,33.9344,34.2674,40.6798,29.96,42.6831,15.8627,22.5588,35.3513,35.687,20.9494,24.8632,31.3706,31.0816,37.0365
