Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
1109.375,57.1328,68.6313,58.5532,64.1028,68.23,58.0261,92.4961,76.176,66.1089,59.4166,63.7009,69.3009,60.5693,70.9717,66.1797,71.2747,53.005,61.3703,64.2858,66.7138,74.366
1125,79.2492,70.9305,73.1814,76.8999,55.6499,37.0529,63.5326,85.7986,66.3758,67.179,70.8603,80.3235,80.3266,70.2621,69.0426,68.4349,83.6044,64.3213,67.7827,67.3354,61.6357
1140.625,63.2476,66.2617,70.1369,78.7052,72.5082,126.9121,67.0755,68.1842,80.9663,82.753,74.1724,57.1441,76.5846,66.0569,68.8387,62.321,62.7751,71.7847,80.6403,69.0933,70.3074
1156.25,90.6297,81.7384,85.0401,73.1808,105.1834,64.3403,67.4311,71.1209,66.9514,57.5627,58.2404,76.4671,66.9449,76.8818,71.4529,83.9456,70.0025,67.2752,63.2531,72.0422,65.0256
1171.875,78.5943,73.3109,76.7208,79.845,88.1929,66.8679,75.4651,81.9948,78.7314,87.418,101.4237,91.0422,104.258,72.1206,68.0992,76.861,86.4337,87.1106,81.6268,77.0362,83.637
1187.5,76.1956,65.7439,81.2938,78.415,98.2693,106.2905,83.1506,80.8887,91.894,79.4369,69.8489,54.5901,85.8287,85.21,79.8085,86.6812,62.4843,76.6526,70.6104,78.625,69.9144
1203.125,91.271,89.1161,81.1072,98.3999,69.1312,54.2823,97.8457,94.8378,70.9655,90.0463,73.8312,104.4176,61.2577,81.3843,79.7394,82.9593,102.8486,64.0212,75.5481,77.8187,82.0406
1218.75,78.8737,75.7844,87.6043,80.2869,95.4581,76.9485,101.7248,89.34,107.2712,100.4651,116.1583,96.7586,86.5169,75.6588,87.9748,86.2589,57.5759,96.1723,83.9247,73.6573,78.1988
1234.375,100.7634,87.5173,95.3808,87.5296,89.8211,138.5183,85.6145,86.7168,80.6912,73.6108,78.7599,79.3392,97.8609,68.1944,83.8139,94.8097,94.5402,73.8581,84.1953,92.8936,85.5333
1250,88.1162,79.8235,93.6562,93.0541,78.2288,58.6858,92.8738,78.4812,94.3397,98.6482,84.3748,88.7277,76.3821,107.7747,75.6217,84.9552,78.8198,90.1519,82.0095,78.7375,72.7233
1265.625,93.7944,78.6474,89.3786,81.1647,82.4682,98.9993,78.4725,115.9559,84.245,90.2578,99.5412,100.2513,108.6931,74.8447,92.0999,87.616,80.0879,69.9938,69.5738,84.0948,81.1274
1281.25,98.7848,84.0282,85.2992,90.7267,73.1141,57.0075,100.8484,78.3234,95.6419,84.0863,98.2802,93.7594,82.852,80.7325,84.3837,96.2223,78.6645,90.5643,81.3497,76.9561,90.0047
1296.875,85.6893,93.8431,94.9639,105.6518,109.5002,106.3653,92.0409,95.0542,87.9243,97.104,76.3167,89.3219,88.6844,84.0735,86.2223,90.5934,87.8204,82.2205,82.9056,78.9911,73.9072
1312.5,97.1255,72.5369,88.6759,73.7751,71.049,72.7272,95.4406,94.5743,96.0294,82.819,101.0446,91.1575,85.5486,80.6349,75.5024,88.348,75.3524,78.8698,75.6394,82.9779,84.6521
1328.125,83.3576,77.0701,95.5081,97.9255,68.7753,72.2084,89.7356,89.6941,82.0179,99.9069,93.5578,90.0394,111.241,65.4645,78.1085,98.5357,78.1756,78.7275,84.1616,91.0241,75.958
1343.75,98.5282,79.9232,93.4205,84.5794,87.0293,100.7482,85.857,79.217,93.7711,87.7984,77.542,95.8205,78.1104,90.4928,83.4209,70.825,78.0671,75.8054,77.815,65.3252,73.1236
1359.375,79.6989,73.2495,74.1865,86.4477,81.2832,52.8099,85.103,88.2495,85.6093,75.8434,92.6148,77.3543,83.5416,70.8479,73.3434,100.4655,78.2785,72.1765,60.4563,75.8621,76.5553
1375,86.5964,67.7876,93.3169,84.4338,69.2806,92.3908,74.5333,90.2682,70.8566,91.7442,79.4612,72.4206,84.1009,66.9445,75.8258,70.8795,60.9825,71.6287,76.0409,72.2612,74.0217
1390.625,79.8144,72.4822,72.9987,73.5301,74.1692,56.9328,83.4757,66.7835,88.1437,70.8333,77.015,89.093,85.1614,68.5848,66.5786,82.4266,71.3289,65.1449,68.802,72.4802,62.0188
1406.25,67.3937,53.9847,83.751,75.3188,55.4,62.3793,71.6002,70.6947,62.4453,81.6546,73.2152,75.4565,60.9057,62.2099,62.6352,72.1971,54.5003,63.7219,53.6893,60.1708,63.6082
1421.875,72.5623,58.5015,62.9393,72.1957,50.0961,58.5494,79.2667,74.1121,86.0782,53.4089,63.7136,63.9763,79.4591,64.2306,64.659,69.7099,62.424,58.2371,66.0679,65.384,55.4328
1437.5,62.7701,58.6542,58.8825,52.9056,63.2657,73.3022,49.544,72.7909,48.9144,77.0079,74.4797,66.1737,62.8574,48.6236,53.3237,59.9527,63.7495,59.5416,55.9459,50.4259,59.447
1453.125,56.9863,62.4362,60.0971,67.1255,62.3709,46.2718,65.4196,48.9306,63.8147,54.324,59.4484,52.929,58.9897,54.146,54.4091,56.0571,43.8371,43.8686,46.0775,57.7168,53.0526
1468.75,44.54,35.2944,53.9787,49.246,31.137,38.2372,53.175,56.6025,48.8356,51.7575,46.9941,58.0769,50.7047,41.6067,47.5066,55.6451,51.8712,52.1094,40.5832,34.9747,38.6714
1484.375,53.4658,39.0575,43.9258,55.7583,48.7756,44.2734,44.141,33.237,59.0649,44.4398,47.7414,57.2319,41.4099,45.7815,33.9531,45.153,33.7488,36.5701,50.4784,55.8869,52.1934
