Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav,REC21.wav,REC22.wav
6000,11.9302,29.53,46.0842,20.9767,2.0991,116.5982,205.2271,22.1427,10.1048,13.4993,4.8467,14.8231,13.8866,79.9086,4.2315,24.1792,15.4141,29.0497,35.3201,26.1576,20.8816,12.8961
6015.625,26.5063,129.5972,30.6595,31.1921,10.3456,70.7384,153.8801,28.3133,9.8887,35.8745,14.6994,25.3931,14.5689,64.7051,26.5566,25.6821,21.6037,15.9893,111.7933,21.0227,15.0011,20.5826
6031.25,20.6344,119.1235,21.0509,64.9259,14.4172,121.5173,33.846,32.0639,10.1185,8.9033,55.912,13.9864,10.4742,38.845,45.8225,8.7887,15.6811,11.8721,111.9099,26.8684,19.017,14.5978
6046.875,45.0875,118.5035,29.1296,38.9197,13.6076,65.6761,114.2038,37.3095,10.3119,40.4024,85.4579,3.0972,22.0394,42.317,37.9321,12.664,25.6032,67.0605,17.7296,31.5107,27.0924,26.0734
6062.5,8.7817,126.3397,33.6724,7.6726,19.2952,69.4207,191.5931,39.5012,8.4598,19.0928,88.7838,16.2169,44.7478,45.4256,35.6461,21.4079,20.9835,27.43,123.0629,34.529,20.9409,25.0501
6078.125,30.6401,75.2162,8.7522,16.6703,14.5709,25.6074,159.1534,27.9193,12.0953,29.5089,69.0063,24.8964,29.1884,33.9922,14.2189,14.1161,50.4404,34.045,78.0733,42.9422,12.1921,27.9479
6093.75,28.4844,197.9803,24.5952,23.1134,26.9871,68.5419,94.6435,42.3431,19.6001,24.5034,107.2332,21.3416,43.8609,51.0977,26.2471,47.3387,25.4262,38.4916,34.2785,42.3694,38.587,31.1401
6109.375,32.1751,235.7227,47.9792,13.5355,33.4783,158.5693,123.8824,2.3776,24.3129,39.6715,74.5224,31.2935,57.186,87.893,48.7568,25.6345,35.489,51.6842,157.1871,37.1822,26.902,31.986
6125,40.182,149.4906,31.7094,36.3105,30.4626,115.3776,122.3157,32.7992,6.8439,38.8103,86.0714,19.4521,49.4768,74.6058,23.2564,42.18,30.0478,69.0272,94.8571,40.5505,11.6384,35.8128
6140.625,11.6787,54.5327,62.646,28.6752,28.7802,167.015,45.5753,62.055,31.809,17.7411,89.1091,40.0672,22.9407,82.4876,23.3331,31.8791,31.1091,55.9674,125.0196,30.2738,35.3075,34.7732
