Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav
2343.75,24.487,9.6493,8.4777,6.6256,22.112,21.8704,18.1929,19.4253,15.7681,19.9406,16.8683,16.9071,19.1941
2359.375,11.1149,17.8535,10.7954,25.3084,14.5709,10.5424,19.0788,9.6973,19.9531,14.5523,20.7208,18.3962,17.9687
2375,24.0986,13.4346,14.6341,14.0489,13.6778,19.3201,14.4507,11.7578,18.564,22.3201,15.6733,11.3512,20.9481
2390.625,14.3592,16.4591,8.6786,6.8685,20.8902,22.2277,3.8108,14.9884,7.9718,6.5489,13.9223,19.4788,5.5147
2406.25,13.2495,11.1559,18.31,11.6325,6.8535,8.5618,22.1654,10.8683,12.0415,12.756,13.762,7.4643,9.861
2421.875,16.1016,8.0595,13.4894,18.1589,20.3683,19.9493,8.095,16.2227,19.3639,22.3939,5.3084,16.3121,20.5789
2437.5,9.5186,12.4324,14.66,8.4497,12.1283,7.5528,17.086,14.0733,5.5021,8.6141,18.1075,7.3396,20.7589
2453.125,16.078,16.9891,11.8753,19.7278,16.7586,11.1023,6.063,19.844,13.7229,8.4588,11.2392,13.8261,6.529
2468.75,17.7588,14.162,13.2336,8.9731,10.2086,9.7317,12.7351,7.6503,11.4898,19.004,13.6128,8.1215,27.8375
2484.375,7.0597,21.6076,18.6965,23.284,17.8309,20.2894,14.7985,25.6665,5.9915,7.1547,7.4545,13.3042,32.0487
2500,14.5842,2.4671,9.172,21.0827,15.7775,10.6501,13.8505,11.6789,21.579,23.2443,20.9114,14.3066,6.6991
2515.625,18.6745,18.4553,17.1511,12.4232,25.1798,15.9685,13.9054,11.7805,5.5072,10.7401,9.6982,14.7802,23.416
2531.25,12.8093,15.6587,12.9054,7.7169,4.9633,30.5901,19.167,17.3158,19.2174,14.0721,19.1059,22.7282,16.8319
2546.875,21.4573,9.268,14.5969,21.8592,13.7617,9.2394,26.7537,19.8024,26.1583,24.8884,17.3575,19.5926,35.3631
2562.5,13.8559,22.0627,21.4199,23.6936,24.8912,22.8098,14.3457,20.1404,15.2703,17.5884,24.8957,28.484,16.7084
2578.125,18.6108,16.6533,10.1707,18.9061,9.7714,35.2573,30.2492,22.6227,23.7951,27.0064,26.4062,14.1285,41.4311
2593.75,32.2051,21.6173,17.2635,14.4978,14.7376,12.6972,32.4769,14.811,23.4279,18.6286,19.8602,26.4941,22.3204
2609.375,18.8218,12.5841,17.4256,21.5986,22.5484,26.2784,12.3599,23.4843,32.2473,35.8612,27.0962,24.8291,25.5385
2625,25.6958,22.4622,19.2422,20.3062,15.5414,33.0679,31.9774,15.4385,20.3795,18.0494,31.7821,30.0048,33.8693
2640.625,25.4348,13.9492,11.9129,4.2619,11.8748,28.6795,26.5659,24.9577,29.9456,30.0441,22.7032,30.5247,26.9707
2656.25,20.9444,25.3145,29.1593,37.3824,20.5943,30.5258,27.3099,10.344,30.6906,25.9714,35.3854,28.2522,31.0553
2671.875,38.1918,16.876,14.4428,3.6712,21.3851,32.9024,35.7458,28.0022,28.7715,21.8604,27.019,23.8498,28.4109
2687.5,23.737,17.1435,15.3685,26.4235,15.6925,34.4885,19.7611,18.9369,26.8371,36.5887,25.1188,38.2224,27.8653
2703.125,26.4691,28.5095,25.4336,13.6069,19.3145,30.73,39.3196,17.8373,17.7529,33.4924,28.8383,28.5376,33.0518
2718.75,23.1077,12.8466,19.6448,19.2879,11.405,31.0624,19.4037,29.1118,39.6947,18.4486,32.5446,29.5046,19.7067
2734.375,26.397,23.4404,22.5047,31.2168,31.2116,27.4986,27.8444,22.1565,23.7781,30.9468,20.4444,20.8602,27.2938
2750,30.5468,12.3434,23.7957,22.0615,10.0938,21.3594,32.2829,10.3281,22.532,26.5955,30.6194,31.7066,42.5554
2765.625,20.6283,24.941,15.7812,15.0484,19.0241,35.2299,19.3422,34.6842,26.1142,24.0093,23.4907,23.5019,14.4759
2781.25,20.639,17.6134,25.1999,25.8979,29.4596,33.562,23.9092,16.0308,28.4864,21.5263,27.5466,21.8777,43.3254
2796.875,17.7869,27.6108,24.5816,15.7168,12.3479,13.1261,24.3026,24.1952,11.7139,20.7487,20.7139,24.6356,11.062
2812.5,29.6532,20.0532,20.4556,23.6126,37.2181,18.9646,26.6487,18.339,31.5582,31.537,18.3328,25.6164,17.682
2828.125,22.5157,29.0089,20.8158,27.0081,7.8491,32.4076,17.7695,20.2184,18.714,18.0658,26.316,26.2221,33.5707
2843.75,24.4274,17.778,21.7415,15.0078,27.7441,16.882,25.4,24.3405,26.1996,23.6794,24.4444,16.8522,28.6823
2859.375,15.3128,21.5985,22.6105,29.8587,19.7696,22.6648,17.3762,26.6978,19.5004,19.9737,24.3764,21.8225,13.7307
2875,17.4908,25.5676,17.6195,22.6729,26.6114,27.2207,22.6089,16.7676,22.391,24.6849,23.0917,23.3615,29.6559
2890.625,38.0906,23.9151,32.3125,29.1817,21.0201,27.1446,27.5366,19.6392,23.7833,23.988,23.9926,23.3944,23.737
2906.25,19.4771,19.6604,14.0735,22.9692,23.971,24.1025,29.7898,29.4616,26.8267,29.6782,25.683,24.8081,33.9171
2921.875,32.3764,24.027,30.6213,20.8392,32.2278,37.6264,26.9698,24.5755,31.813,19.5959,34.4112,28.5331,22.0038
2937.5,26.0261,27.0905,22.9564,23.6716,26.5256,27.6301,26.4919,21.9584,34.553,37.7142,27.1097,30.9856,21.7973
2953.125,41.7343,27.0509,21.2388,19.6709,23.1622,35.373,37.0243,37.4964,26.4268,39.892,32.5463,38.0138,54.989
2968.75,31.3242,23.0482,29.2188,40.0425,28.3573,43.8078,34.4724,12.1596,40.4742,28.8923,35.7794,37.521,30.9459
2984.375,39.4585,24.315,30.4619,21.8994,33.1842,28.0929,44.736,21.8549,39.9737,40.2593,39.0704,37.0835,37.7056
3000,38.4398,31.6289,23.4783,25.6348,22.3239,53.1469,36.6453,38.8847,35.8278,43.3271,37.8561,41.3209,47.6463
3015.625,44.548,18.4173,25.155,35.7457,29.2687,28.1328,49.7647,28.9537,43.3119,37.0422,46.7583,42.6066,35.1194
3031.25,44.1912,43.1276,28.5597,20.2831,27.5162,51.2043,37.7816,28.6121,41.1865,52.195,45.4076,43.8593,42.7221
3046.875,46.06,22.9398,27.1074,29.8237,26.142,44.3472,51.538,28.3164,51.2783,39.4962,43.4615,48.0828,52.3771
3062.5,47.0416,35.8496,29.5071,32.1411,28.4081,49.8714,46.3454,35.1405,46.6283,54.4621,51.5917,48.8738,41.1865
3078.125,46.5355,30.3316,28.0457,34.0541,30.1611,60.2847,46.5367,27.0281,50.4467,46.7157,43.6277,41.6594,48.3452
3093.75,51.5462,21.4558,30.6104,17.5396,34.7808,37.6246,55.8194,30.2099,46.8429,47.1786,58.9438,60.3513,54.7098
