Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav
4546.875,18.8164,20.5594,15.9211,12.8371,24.8993,13.0814,11.8184,14.2914
4562.5,19.1316,19.8108,12.9783,14.751,14.3467,12.9954,15.574,16.429
4578.125,20.0013,27.419,12.8222,19.4508,24.6704,23.5385,20.7417,16.4144
4593.75,17.3985,20.1875,28.4388,19.0702,20.5752,15.0962,15.2011,21.4169
4609.375,25.272,24.1676,18.7467,19.9597,32.8765,27.2058,29.5614,23.64
4625,26.6564,26.8567,27.4127,28.7855,22.5376,22.2106,23.0273,22.2373
4640.625,22.2972,33.5002,26.2128,24.7106,32.6021,29.6941,20.4295,29.4129
4656.25,30.3935,27.1453,30.3013,34.3247,30.0719,32.3112,33.0156,30.0911
4671.875,37.4315,36.6137,32.6791,31.8134,38.8704,33.0511,30.7805,29.5504
4687.5,29.9243,35.258,36.4391,32.5356,33.0571,32.8568,42.7493,36.9684
4703.125,39.2939,39.0213,37.7962,37.6482,37.3123,37.972,32.4737,37.2494
4718.75,40.4494,40.9896,40.0082,42.2475,40.6331,38.8227,40.7897,38.34
4734.375,38.1391,43.0178,40.1349,36.3536,44.0345,43.5424,41.0873,40.4376
4750,45.0529,41.1581,42.5409,41.805,41.261,38.9145,41.3505,44.6409
4765.625,44.1959,47.3203,44.2145,50.7562,48.1033,48.1849,44.1448,44.005
4781.25,43.8545,45.4541,46.2668,39.5414,47.5217,41.1789,43.1456,48.664
4796.875,40.1614,48.9155,44.5356,50.0287,43.9754,44.9839,43.0183,44.673
4812.5,47.1871,46.1499,45.9217,40.0985,54.8756,47.4761,51.2158,45.1618
4828.125,46.0236,49.28,47.4927,53.5301,45.1836,48.4791,49.2639,49.5328
4843.75,46.3375,52.6391,44.7164,41.5459,48.6199,44.3696,41.4242,41.7099
4859.375,43.0877,46.7105,45.7596,45.142,51.9309,49.5669,50.2662,49.7259
4875,47.6142,44.3397,47.711,47.2109,49.9551,39.9396,40.9084,44.7892
