Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
1765.625,37.9288,49.9191,47.3411,52.1733,30.8498,50.7007,51.2668,17.2006,45.9135,34.4708,48.5968,51.1342,28.4958,35.0829,40.1864,28.1529,45.1667
1781.25,41.514,46.4283,9.0413,39.6043,31.8379,48.0632,39.7054,46.9417,43.1348,18.1105,36.5931,38.1235,31.2858,48.057,36.6842,39.0279,45.3324
1796.875,29.4171,33.6227,78.1125,12.7602,34.0219,43.3912,54.7656,37.3029,57.559,41.3933,45.1761,60.9572,46.8197,13.1879,28.4109,36.6366,47.6345
1812.5,28.6641,66.0327,31.3672,44.1782,31.9382,47.7166,37.2348,46.9907,53.6119,43.2749,58.1739,36.7182,19.5762,48.4868,39.4694,32.3538,46.5382
1828.125,56.8437,48.809,42.7274,62.5498,34.0931,48.5867,56.1572,13.6644,34.2194,22.4473,49.8567,51.6638,46.2903,29.9527,37.2271,44.8519,53.4191
1843.75,41.3397,40.5724,49.1621,24.2236,37.8636,47.7661,44.8654,48.3282,53.7379,56.7069,44.4832,42.3474,30.8133,38.5803,30.2348,26.0476,41.5003
1859.375,15.8607,51.7617,23.5374,32.7263,40.1401,44.5018,41.2536,43.7186,45.0699,3.4028,48.085,46.8725,29.7736,26.1732,44.5933,42.1288,55.1996
1875,53.3858,32.5824,42.2895,35.5715,32.5331,52.4458,43.2413,24.9991,41.9593,56.9888,42.5046,43.3758,32.2831,38.5353,22.0543,26.056,46.5286
1890.625,41.2739,50.7701,25.6412,33.9436,28.319,41.2923,50.7353,32.6951,44.0676,17.4114,44.1952,48.4674,40.1658,34.4689,39.9486,43.8458,33.7994
1906.25,31.5399,38.5332,28.9931,29.4012,31.8351,39.3513,46.3744,39.1514,44.06,38.5397,46.1123,42.3441,33.3492,31.5072,25.5414,25.9574,47.8474
1921.875,24.8673,42.3576,32.9029,39.7904,34.7981,32.186,38.6241,38.322,39.7936,38.6373,35.0365,37.1244,24.8713,31.3881,33.3349,34.5137,45.379
1937.5,41.0747,37.0431,31.4775,38.5775,30.0721,48.1951,43.3718,7.7878,38.8139,27.186,35.0779,39.1419,30.1849,38.4966,31.4795,21.1945,31.2661
1953.125,32.5378,27.682,27.1221,15.7224,26.8389,23.7698,20.6987,39.0428,28.1544,44.1009,31.2991,38.6118,26.1522,22.3629,34.1157,32.3705,26.6726
1968.75,29.9711,37.6413,29.5731,34.9108,26.2186,31.6335,20.6657,15.5705,38.4929,22.9847,33.8296,23.8188,30.6181,20.2042,23.6654,26.1694,30.5879
